ART,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-3-31,32,26,18,19,18,16,94,65,31,1014,1013,1011,14,11,9,24,8,,0.00,4,,87
2013-4-1,23,21,18,19,18,17,100,87,71,1015,1013,1012,14,9,5,23,14,,4.06,8,Rain,158
2013-4-2,22,19,16,18,17,15,100,91,69,1017,1015,1011,14,7,0,23,11,,4.06,7,Fog-Rain,188
2013-4-3,23,19,14,16,14,13,94,80,52,1017,1016,1013,14,11,10,19,13,,0.00,6,,232
2013-4-4,26,17,8,16,12,9,100,77,31,1015,1010,1006,14,7,0,23,5,,0.00,2,Fog,267
2013-4-5,29,21,12,16,12,8,94,66,19,1008,1007,1005,14,10,9,26,8,,0.00,,,238
2013-4-6,22,17,10,13,7,1,94,59,17,1017,1012,1006,14,12,9,34,10,,0.00,6,,186
2013-4-7,21,12,3,7,4,3,100,61,24,1019,1018,1017,14,12,9,11,5,,0.00,,,68
2013-4-8,24,16,6,10,7,4,93,60,21,1021,1019,1017,14,10,8,11,3,,0.00,,,79
2013-4-9,26,18,9,13,10,8,98,63,27,1020,1017,1013,14,12,9,23,10,,0.00,,,57
2013-4-10,23,19,14,16,13,9,82,69,48,1015,1012,1008,14,11,9,21,16,,0.00,7,Rain,78
2013-4-11,21,19,16,17,16,14,100,87,61,1010,1008,1005,14,10,6,34,14,,5.08,6,Rain-Thunderstorm,130
2013-4-12,22,17,10,15,9,1,100,66,18,1020,1015,1010,14,11,9,27,16,,0.00,4,,182
2013-4-13,21,12,2,6,3,-1,93,59,19,1022,1020,1016,14,14,9,19,6,,0.00,,,247
2013-4-14,27,17,6,13,8,4,94,60,24,1017,1016,1013,14,13,10,23,10,,0.00,1,,281
